1100,1000,0000,0001,0011,0111,1111,1110,1101,1010,0100,0010,0101,1011,1001,0110,label
11641,10132,3704,10132,11543,9360,10330,9360,8823,6406,9477,9575,6504,8921,10986,11103,0
11603,10123,3688,10123,11518,9368,10371,9368,8821,6426,9485,9570,6511,8906,10965,11055,0
18967,16508,5989,16508,18879,15265,16845,15265,14405,10526,15552,15640,10614,14493,18011,18106,1
18997,16517,6024,16517,18882,15322,16892,15322,14433,10491,15504,15619,10606,14548,17984,18107,1
11620,10100,3702,10100,11533,9382,10357,9382,8812,6426,9505,9592,6513,8899,11025,11049,0
18996,16511,5996,16511,18889,15315,16809,15315,14431,10518,15544,15651,10625,14538,18029,18111,1
18983,16492,5995,16492,18893,15311,16861,15311,14398,10538,15543,15633,10628,14488,18034,18069,1
11652,10101,3724,10101,11555,9371,10318,9371,8834,6421,9462,9559,6518,8931,11013,11114,0
11644,10118,3693,10118,11547,9383,10311,9383,8833,6419,9470,9567,6516,8930,10996,11093,0
11648,10120,3707,10120,11544,9380,10330,9380,8811,6406,9472,9576,6510,8915,11000,11078,0
11639,10102,3705,10102,11551,9374,10385,9374,8808,6415,9474,9562,6503,8896,11011,11072,0
11659,10098,3709,10098,11542,9392,10402,9392,8808,6396,9445,9562,6513,8925,11006,11074,0
11628,10136,3697,10136,11536,9345,10344,9345,8806,6434,9466,9558,6526,8898,10958,11088,0
11620,10108,3711,10108,11542,9361,10331,9361,8816,6426,9485,9563,6504,8894,10997,11074,0
11639,10094,3696,10094,11538,9369,10315,9369,8808,6436,9490,9591,6537,8909,11035,11077,0
11644,10112,3694,10112,11538,9381,10354,9381,8794,6395,9475,9581,6501,8900,11007,11056,0
18970,16506,5994,16506,18881,15312,16906,15312,14408,10540,15546,15635,10629,14497,18010,18065,1
19004,16501,5998,16501,18904,15282,16872,15282,14423,10504,15516,15616,10604,14523,18019,18144,1
11660,10104,3710,10104,11556,9357,10332,9357,8781,6402,9476,9580,6506,8885,11032,11083,0
11660,10103,3685,10103,11548,9385,10335,9385,8807,6405,9465,9577,6517,8919,11022,11081,0
11670,10082,3709,10082,11571,9394,10316,9394,8838,6427,9473,9572,6526,8937,11061,11113,0
11653,10130,3712,10130,11537,9375,10386,9375,8794,6375,9473,9589,6491,8910,10996,11071,0
11644,10095,3704,10095,11547,9374,10329,9374,8810,6413,9490,9587,6510,8907,11039,11079,0
18972,16498,6015,16498,18881,15281,16840,15281,14389,10546,15537,15628,10637,14480,18011,18079,1
11650,10115,3688,10115,11536,9396,10379,9396,8803,6394,9457,9571,6508,8917,10992,11056,0
18972,16520,6015,16520,18876,15286,16907,15286,14397,10506,15537,15633,10602,14493,17989,18082,1
11633,10116,3713,10116,11538,9381,10339,9381,8806,6397,9497,9592,6492,8901,11014,11057,0
11646,10125,3719,10125,11555,9356,10349,9356,8783,6414,9486,9577,6505,8874,11007,11072,0
19002,16519,6007,16519,18905,15297,16830,15297,14435,10514,15550,15647,10611,14532,18033,18139,1
11621,10113,3734,10113,11528,9377,10331,9377,8820,6408,9467,9560,6501,8913,10975,11063,0
11645,10133,3698,10133,11553,9379,10361,9379,8806,6398,9483,9575,6490,8898,10995,11071,0
18961,16494,5992,16494,18873,15290,16915,15290,14416,10553,15543,15631,10641,14504,18010,18086,1
18977,16496,5995,16496,18901,15316,16936,15316,14426,10522,15547,15623,10598,14502,18028,18086,1
18984,16510,6045,16510,18877,15307,16860,15307,14418,10513,15522,15629,10620,14525,17996,18094,1
18965,16506,5998,16506,18870,15249,16878,15249,14392,10544,15527,15622,10639,14487,17986,18107,1
18977,16529,6005,16529,18897,15281,16871,15281,14376,10512,15564,15644,10592,14456,18012,18071,1
18956,16519,5986,16519,18880,15275,16892,15275,14397,10544,15573,15649,10620,14473,18010,18077,1
18978,16499,6001,16499,18891,15285,16860,15285,14411,10555,15556,15643,10642,14498,18035,18103,1
18994,16500,5997,16500,18890,15286,16815,15286,14380,10498,15576,15680,10602,14484,18070,18087,1
11638,10106,3702,10106,11541,9401,10357,9401,8828,6423,9476,9573,6520,8925,11008,11064,0
